2020-03-25 09:42:48,305: u'h'
2020-03-25 09:42:48,632: u'a'
2020-03-25 09:42:48,882: u'l'
2020-03-25 09:42:49,055: u'l'
2020-03-25 09:42:49,242: u'o'
2020-03-25 09:42:49,632: u'w'
2020-03-25 09:42:49,789: Key.space
2020-03-25 09:42:50,196: u'w'
2020-03-25 09:42:50,328: u'o'
2020-03-25 09:42:50,512: u'r'
2020-03-25 09:42:51,220: u'l'
2020-03-25 09:42:51,539: u'd'
2020-03-25 09:43:06,661: u'e'
2020-03-25 09:43:07,082: u'x'
2020-03-25 09:43:07,255: u'i'
2020-03-25 09:43:07,895: u't'
2020-03-25 09:43:08,520: Key.enter
2020-03-25 09:43:35,187: Key.delete
2020-03-25 09:43:43,227: u's'
2020-03-25 09:43:43,575: u'u'
2020-03-25 09:43:44,688: u'p'
2020-03-25 09:43:44,841: u'p'
2020-03-25 09:44:16,259: Key.ctrl_l
2020-03-25 09:44:16,776: Key.ctrl_l
2020-03-25 09:44:16,806: Key.ctrl_l
2020-03-25 09:44:16,838: Key.ctrl_l
2020-03-25 09:44:16,869: Key.ctrl_l
2020-03-25 09:44:16,901: Key.ctrl_l
2020-03-25 09:44:16,931: Key.ctrl_l
2020-03-25 09:44:16,963: Key.ctrl_l
2020-03-25 09:44:17,009: Key.ctrl_l
2020-03-25 09:44:17,040: Key.ctrl_l
2020-03-25 09:44:17,072: Key.ctrl_l
2020-03-25 09:44:17,104: Key.ctrl_l
2020-03-25 09:44:17,134: Key.ctrl_l
2020-03-25 09:44:17,165: Key.ctrl_l
2020-03-25 09:44:17,181: u'\x16'
2020-03-25 09:44:23,385: Key.space
2020-03-25 09:44:24,230: u'f'
2020-03-25 09:44:24,338: u'o'
2020-03-25 09:44:24,637: Key.space
2020-03-25 09:44:25,105: Key.backspace
2020-03-25 09:44:25,276: u'r'
2020-03-25 09:44:25,387: Key.space
2020-03-25 09:44:26,073: u'n'
2020-03-25 09:44:26,308: u'o'
2020-03-25 09:44:26,480: Key.space
2020-03-25 09:44:26,684: u'w'
2020-03-25 09:44:26,825: u'i'
2020-03-25 09:44:26,950: u'n'
2020-03-25 09:44:27,262: u'f'
2020-03-25 09:44:27,684: Key.backspace
2020-03-25 09:44:27,871: u'd'
2020-03-25 09:44:27,980: u'o'
2020-03-25 09:44:28,325: u'w'
2020-03-25 09:44:28,980: Key.enter
2020-03-25 10:02:46,716: u'h'
2020-03-25 10:02:47,072: u'a'
2020-03-25 10:02:47,289: u'l'
2020-03-25 10:02:47,477: u'l'
2020-03-25 10:07:12,529: Key.ctrl_l
2020-03-25 10:07:12,874: u'\x03'
2020-03-25 10:07:15,890: Key.ctrl_l
2020-03-25 10:07:16,265: u'\x03'
2020-03-25 10:07:18,503: Key.ctrl_l
2020-03-25 10:07:18,940: u'\x16'
2020-03-25 10:09:17,280: Key.delete
2020-03-25 10:09:52,605: Key.backspace
2020-03-25 10:10:38,825: u'c'
2020-03-25 10:10:39,388: u'l'
2020-03-25 10:10:39,607: u'i'
2020-03-25 10:10:40,148: u'c'
2020-03-25 10:10:40,641: u'k'
2020-03-25 10:10:41,219: u'm'
2020-03-25 10:10:42,359: u'e'
2020-03-25 10:11:48,859: Key.backspace
2020-03-25 10:12:32,119: u'h'
2020-03-25 10:12:32,523: u'a'
2020-03-25 10:12:32,694: u'l'
2020-03-25 10:12:32,881: u'l'
2020-03-25 10:12:33,085: u'o'
2020-03-25 10:27:45,829: Key.backspace
2020-03-25 10:27:46,326: Key.delete
2020-03-25 10:27:46,507: Key.delete
2020-03-25 10:27:46,676: Key.delete
2020-03-25 10:27:49,335: Key.ctrl_l
2020-03-25 10:27:49,661: u'\x13'
2020-03-25 10:28:16,734: Key.backspace
2020-03-25 10:28:16,920: Key.backspace
2020-03-25 10:28:17,177: Key.backspace
2020-03-25 10:28:17,430: Key.backspace
2020-03-25 10:28:17,747: Key.backspace
2020-03-25 10:28:19,082: Key.ctrl_l
2020-03-25 10:28:19,286: u'\x13'
2020-03-25 10:32:14,641: Key.enter
